Gender,Country ,Degree ,Job Title
Female,Mexico,Doctoral degree,Other
Male,Indonesia,Bachelor’s degree,Engineering (non-computer focused)
Female,United States of America,Master’s degree,"Computer science (software engineering, etc.)"
Male,United States of America,Master’s degree,"Social sciences (anthropology, psychology, sociology, etc.)"
Male,India,Master’s degree,Mathematics or statistics
Male,Colombia,Bachelor’s degree,Physics or astronomy
Male,Chile,Doctoral degree,"Information technology, networking, or system administration"
Male,India,Master’s degree,"Information technology, networking, or system administration"
Male,Turkey,Master’s degree,Engineering (non-computer focused)
Male,Hungary,Master’s degree,Engineering (non-computer focused)
Male,Ireland,Bachelor’s degree,"Information technology, networking, or system administration"
Male,United States of America,Master’s degree,Engineering (non-computer focused)
Male,France,Doctoral degree,Mathematics or statistics
Male,United States of America,Bachelor’s degree,Mathematics or statistics
Female,Argentina,Bachelor’s degree,"A business discipline (accounting, economics, finance, etc.)"
Male,Japan,Master’s degree,Engineering (non-computer focused)
Male,Colombia,Master’s degree,Environmental science or geology
Male,Nigeria,Professional degree,"Medical or life sciences (biology, chemistry, medicine, etc.)"
Male,United States of America,Some college/university study without earning a bachelor’s degree,"Computer science (software engineering, etc.)"
Male,Spain,Some college/university study without earning a bachelor’s degree,I never declared a major
Female,Other,Master’s degree,Engineering (non-computer focused)
Female,Nigeria,Bachelor’s degree,"Medical or life sciences (biology, chemistry, medicine, etc.)"
Male,United States of America,Bachelor’s degree,"A business discipline (accounting, economics, finance, etc.)"
Female,"Iran, Islamic Republic of...",Master’s degree,"Computer science (software engineering, etc.)"
Male,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Mathematics or statistics
Male,Turkey,Master’s degree,Other
Male,India,Bachelor’s degree,Engineering (non-computer focused)
Female,United States of America,Master’s degree,"Medical or life sciences (biology, chemistry, medicine, etc.)"
Female,Poland,Master’s degree,Mathematics or statistics
Female,Kenya,Bachelor’s degree,"Computer science (software engineering, etc.)"
Male,India,Some college/university study without earning a bachelor’s degree,"Computer science (software engineering, etc.)"
Male,Denmark,Master’s degree,Other
Male,Netherlands,Master’s degree,"Computer science (software engineering, etc.)"
Female,China,Master’s degree,"Computer science (software engineering, etc.)"
Female,Sweden,Master’s degree,Mathematics or statistics
Male,Ukraine,Master’s degree,"Computer science (software engineering, etc.)"
Male,India,Bachelor’s degree,Engineering (non-computer focused)
Male,Canada,Doctoral degree,Engineering (non-computer focused)
Male,Australia,Doctoral degree,Physics or astronomy
Male,United States of America,Bachelor’s degree,"Computer science (software engineering, etc.)"
