Gender,Country ,Job Title,Degree
Male,France,Software Engineer,Master’s degree
Male,India,Software Engineer,Professional degree
Female,Germany,,Professional degree
Male,Australia,Other,Master’s degree
Male,India,Other,Bachelor’s degree
Male,France,Data Scientist,Master’s degree
Male,India,Data Scientist,Master’s degree
Female,United States of America,Data Scientist,Bachelor’s degree
Male,United States of America,Student,Bachelor’s degree
Male,Netherlands,Other,Master’s degree
Male,India,Student,Some college/university study without earning a bachelor’s degree
Male,Germany,Statistician,Master’s degree
Male,Germany,Data Scientist,Bachelor’s degree
Male,United States of America,Product/Project Manager,Master’s degree
Male,India,Other,Bachelor’s degree
Female,United States of America,Data Analyst,Master’s degree
Male,Australia,Software Engineer,Bachelor’s degree
Male,India,Student,Some college/university study without earning a bachelor’s degree
Male,France,Product/Project Manager,Master’s degree
Male,France,Research Scientist,Doctoral degree
Female,Ireland,Data Analyst,Master’s degree
Male,United States of America,Other,Bachelor’s degree
Male,India,Business Analyst,Master’s degree
Male,Russia,Software Engineer,Master’s degree
Male,Greece,Research Scientist,Master’s degree
Male,Greece,Software Engineer,Master’s degree
Male,India,Software Engineer,Master’s degree
Male,United States of America,Student,Doctoral degree
Female,Ukraine,Research Scientist,Doctoral degree
Female,Pakistan,Research Scientist,Master’s degree
Male,Japan,Software Engineer,Master’s degree
Male,Japan,Data Scientist,Master’s degree
Female,Other,Data Analyst,Master’s degree
Female,United States of America,Research Scientist,Master’s degree
Male,Brazil,Data Scientist,Bachelor’s degree
Male,India,Other,Bachelor’s degree
Male,South Korea,Data Analyst,Master’s degree
Male,Brazil,Data Analyst,Master’s degree
Male,France,Data Engineer,Master’s degree
Female,United States of America,Product/Project Manager,Doctoral degree
Male,India,Software Engineer,Bachelor’s degree
Male,India,Not employed,Master’s degree
Male,India,Not employed,Master’s degree
Male,Belarus,Software Engineer,Master’s degree
Male,India,DBA/Database Engineer,Bachelor’s degree
Male,India,Software Engineer,Bachelor’s degree
Male,India,Data Engineer,Master’s degree
Male,Nigeria,Data Analyst,Master’s degree
Female,United Kingdom of Great Britain and Northern Ireland,Software Engineer,Bachelor’s degree
Male,Sweden,Data Analyst,Master’s degree
Male,United States of America,Data Scientist,Bachelor’s degree
Male,India,Business Analyst,Bachelor’s degree
Male,India,Student,Professional degree
Male,Germany,Data Engineer,Master’s degree
Male,Germany,Data Scientist,Bachelor’s degree
Male,India,Data Analyst,Some college/university study without earning a bachelor’s degree
Female,India,Data Analyst,Doctoral degree
Male,India,Other,Master’s degree
Male,United States of America,Other,Master’s degree
Female,India,Student,I prefer not to answer
Male,Mexico,Data Scientist,Master’s degree
Male,United States of America,Data Analyst,Bachelor’s degree
