Gender,Country,Degree,Job Title
"Non-binary, genderqueer, or gender non-conforming",,Bachelor's degree,DBA/Database Engineer
Female,United States,Master's degree,
Male,Canada,Master's degree,
Male,United States,Master's degree,Operations Research Practitioner
Male,Taiwan,Doctoral degree,Computer Scientist
Male,Brazil,Doctoral degree,Data Scientist
Male,United States,Master's degree,Computer Scientist
Female,India,Bachelor's degree,Software Developer/Software Engineer
Female,Australia,Bachelor's degree,Business Analyst
Male,Russia,Bachelor's degree,Software Developer/Software Engineer
Female,Russia,Bachelor's degree,
Male,India,Bachelor's degree,Data Scientist
Male,Brazil,Doctoral degree,Engineer
Male,Netherlands,,
Male,Taiwan,Master's degree,Software Developer/Software Engineer
Male,United States,Master's degree,DBA/Database Engineer
Male,Italy,,
Male,United Kingdom,,
Male,United States,Bachelor's degree,
Male,Brazil,Master's degree,
Male,United States,Master's degree,Scientist/Researcher
Male,United States,Bachelor's degree,Researcher
Male,United States,Doctoral degree,Scientist/Researcher
Male,Czech Republic,Some college/university study without earning a bachelor's degree,Other
Male,United States,Master's degree,Software Developer/Software Engineer
Male,Russia,Bachelor's degree,Data Analyst
Male,Netherlands,Master's degree,Engineer
Male,Colombia,Master's degree,Data Scientist
Male,Germany,I did not complete any formal education past high school,Data Scientist
Female,Canada,Master's degree,
Male,Denmark,Some college/university study without earning a bachelor's degree,Business Analyst
Male,Poland,Master's degree,Software Developer/Software Engineer
Male,United Kingdom,Doctoral degree,Data Scientist
Male,Russia,Master's degree,Machine Learning Engineer
Male,United States,Doctoral degree,Engineer
Female,South Africa,Professional degree,
Male,Sweden,Doctoral degree,
Male,Sweden,Master's degree,Machine Learning Engineer
Female,Canada,Master's degree,Other
Male,United States,Doctoral degree,Software Developer/Software Engineer
Male,United States,Doctoral degree,Operations Research Practitioner
Male,United States,Master's degree,Data Scientist
Male,Portugal,Master's degree,Data Scientist
Female,United States,Some college/university study without earning a bachelor's degree,
Male,Other,Master's degree,Data Scientist
Male,Mexico,Some college/university study without earning a bachelor's degree,Data Scientist
Male,New Zealand,Some college/university study without earning a bachelor's degree,Software Developer/Software Engineer
Female,,Bachelor's degree,
Male,United States,Doctoral degree,Scientist/Researcher
Male,People 's Republic of China,Doctoral degree,
Male,People 's Republic of China,Master's degree,
